Components,Edges
['(2826-2287)'],1
['(2826-2541)'],1
['(2826-2558)'],1
['(2826-2923)'],1
['(4336-4491)'],1
['(2826-4336)'],1
['(229-1123)'],1
['(229-1726)'],1
['(229-2219)'],1
['(229-2220)'],1
['(228-230)'],1
['(2223-107)'],1
['(2223-883)'],1
['(2223-1021)'],1
['(2223-1175)'],1
['(2223-2414)'],1
['(2223-3868)'],1
['(209-1903)'],1
['(209-1940)'],1
['(209-2103)'],1
['(209-2429)'],1
['(209-2431)'],1
['(209-2432)'],1
['(208-210)'],1
['(211-621)'],1
['(211-1358)'],1
['(211-2161)'],1
['(211-2163)'],1
['(2164-851)'],1
['(2164-2423)'],1
['(2906-301)'],1
['(2906-2106)'],1
['(2906-2916)'],1
['(2906-3188)'],1
['(4334-3756)'],1
['(4036-842)'],1
['(2904-1608)'],1
['(2904-1845)'],1
['(2904-4156)'],1
['(1867-810)'],1
['(1867-1849)'],1
['(1867-2105)'],1
['(1867-2787)'],1
['(2324-240)'],1
['(2324-566)'],1
['(2324-3230)'],1
['(3257-235)'],1
['(3257-1565)'],1
['(3257-2965)'],1
['(731-1156)'],1
['(1027-1221)'],1
['(1256-3114)'],1
['(411-1256)'],1
['(411-2266)'],1
['(411-2839)'],1
['(411-3306)'],1
['(411-5013)'],1
['(411-5015)'],1
['(158-2104)'],1
['(158-2107)'],1
['(158-2108)'],1
['(1216-1591)'],1
['(1424-200)'],1
['(1424-2858)'],1
['(1424-3282)'],1
['(1424-3283)'],1
['(2653-2403)'],1
['(2653-2764)'],1
['(2653-3576)'],1
['(2653-4237)'],1
['(2653-4426)'],1
['(2653-5289)'],1
['(5417-1617)'],1
['(5417-1757)'],1
['(2112-1492)'],1
['(777-779)'],1
['(777-780)'],1
['(777-782)'],1
['(777-783)'],1
['(777-784)'],1
['(777-785)'],1
['(1385-616)'],1
['(1385-3248)'],1
['(1385-3249)'],1
['(1385-3251)'],1
['(1385-3252)'],1
['(1385-3253)'],1
['(55-56)'],1
['(55-58)'],1
['(60-1937)'],1
['(60-1938)'],1
['(1941-749)'],1
['(1026-1246)'],1
['(2199-322)'],1
['(2199-2940)'],1
['(2199-3697)'],1
['(3919-2119)'],1
['(1297-901)'],1
['(418-763)'],1
['(548-550)'],1
['(551-765)'],1
['(551-1288)'],1
['(551-1311)'],1
['(2336-1892)'],1
['(2336-2099)'],1
['(2336-2528)'],1
['(2336-2538)'],1
['(2336-2799)'],1
['(2336-2805)'],1
['(2336-3136)'],1
['(4041-1213)'],1
['(4041-3336)'],1
['(4041-4412)'],1
['(558-698)'],1
['(558-5570)'],1
['(558-5571)'],1
['(5052-2234)'],1
['(2926-664)'],1
['(1019-2926)'],1
['(928-2652)'],1
['(732-928)'],1
['(732-1071)'],1
['(732-1233)'],1
['(732-1435)'],1
['(1001-614)'],1
['(1001-1100)'],1
['(1001-1291)'],1
['(1001-2198)'],1
['(1001-2931)'],1
['(1001-2932)'],1
['(1001-2933)'],1
['(1001-2934)'],1
['(2936-4413)'],1
['(2936-4414)'],1
['(1173-1060)'],1
['(2683-1695)'],1
['(2683-2385)'],1
['(2683-3109)'],1
['(2683-3343)'],1
['(3710-3335)'],1
['(3710-3708)'],1
['(3710-4959)'],1
['(2683-3710)'],1
['(2683-3879)'],1
['(2683-4170)'],1
['(1173-2746)'],1
['(1086-1824)'],1
['(1086-2124)'],1
['(1086-2984)'],1
['(1086-2985)'],1
['(3781-2519)'],1
['(3781-4031)'],1
['(4923-5428)'],1
['(3781-4923)'],1
['(3781-4924)'],1
['(3781-4925)'],1
